Timestamp,What is your age?,What is your gender?,What is your current job status?,Your total work experience (in months)?,"In which set-up you're currently working/worked in?
(Work from home - WFH, Work from office - WFO, Hybrid) ",What is/was your employment type?,"How comfortable is/was your home workspace? 
(Scale: 0 - Only WFO, 1 - Very uncomfortable, 2 - Uncomfortable, 3 - Neutral, 4 - Comfortable, 5 - Very comfortable)","How comfortable is/was your office workspace? 
(Scale: 0 - Only WFH, 1 - Very uncomfortable, 2 - Uncomfortable, 3 - Neutral, 4 - Comfortable, 5 - Very comfortable)",How productive do you feel while working from home? ,How productive do you feel while working from office? ,Concentration for a task remains better at?,Do you find it easier to maintain a work-life balance while working from home or from the office?,"How satisfied are you with your current/past job overall?
(Scale: 1 - Very dissatisfied, 2 - Dissatisfied, 3 - Neutral, 4 - Satisfied, 5 - Very satisfied) ",Is there any aspect(s) of your job that you enjoy more while working from home or from the office?,Which option will increase your overall job satisfaction level the most?,How has your stress level changed since working from home/office?,"Given a choice, which one would you prefer?"
19/08/2023 16:22:54,21-25,Male,Student with prior work exp.,25 - 36,WFH,Full-time,4,5,2,4,Office,Home,4,,Flexible office timings,Increased slightly,Hybrid
19/08/2023 16:25:12,21-25,Male,Student with prior work exp.,13 - 24,Hybrid,Full-time,3,4,2,4,Office,Home,3,,Better facilities at office,Increased slightly,WFH
19/08/2023 16:31:22,21-25,Male,Not employed,0 - 12,WFO,Full-time,3,3,3,3,Office,Home,3,,Change in work mode (WFH/WFO),No change,WFH
19/08/2023 16:31:56,21-25,Male,Employed,13 - 24,Hybrid,Full-time,3,4,5,3,Home,Home,4,,Flexible office timings,No change,Hybrid
19/08/2023 16:33:46,21-25,Male,Student with prior work exp.,13 - 24,Hybrid,Full-time,4,4,4,4,No difference,Home,3,,Flexible office timings,No change,Hybrid
19/08/2023 16:34:03,26-35,Male,Student with prior work exp.,13 - 24,Hybrid,Part-time,4,2,4,3,Office,Home,3,,Better facilities at office,Decreased slightly,Hybrid
19/08/2023 16:36:15,21-25,Male,Employed,13 - 24,Hybrid,Full-time,4,4,4,3,No difference,No difference,5,Flexibility and being with family,Change in work mode (WFH/WFO),Decreased slightly,Hybrid
19/08/2023 16:44:28,21-25,Female,Not employed,0 - 12,Hybrid,Not employed,4,4,3,4,Office,Home,3,,Flexible office timings,Increased slightly,WFH
19/08/2023 19:08:37,21-25,Male,Not employed,0 - 12,WFO,Part-time,5,4,3,4,Office,Home,4,,Less working hours,Increased slightly,Hybrid
19/08/2023 20:30:33,21-25,Male,Student with prior work exp.,0 - 12,WFO,Full-time,4,3,3,4,Office,Office,4,,Less working hours,No change,WFO
19/08/2023 20:36:31,26-35,Male,Student with prior work exp.,25 - 36,WFH,Full-time,5,2,4,2,No difference,Home,5,,Flexible office timings,No change,WFH
19/08/2023 20:36:56,26-35,Male,Student with prior work exp.,13 - 24,WFO,Full-time,3,4,3,4,Office,Home,4,,Better facilities at office,Increased slightly,WFO
19/08/2023 20:45:52,21-25,Male,Student with prior work exp.,25 - 36,WFH,Full-time,4,4,4,5,Office,Home,3,,Less working hours,No change,Hybrid
19/08/2023 20:52:59,21-25,Female,Student with prior work exp.,25 - 36,Hybrid,Full-time,5,2,5,2,Home,Home,4,,Change in work mode (WFH/WFO),No change,WFH
19/08/2023 20:55:15,21-25,Female,Not employed,0 - 12,WFH,Freelance,5,0,5,3,Home,Home,1,,Flexible office timings,Increased significantly,WFH
19/08/2023 20:58:35,26-35,Female,Employed,0 - 12,Hybrid,Full-time,4,0,3,4,Office,Home,3,,Less working hours,Increased slightly,WFH
19/08/2023 21:35:56,21-25,Male,Employed,13 - 24,WFH,Full-time,4,4,5,4,Home,Office,3,No clothes,Less working hours,No change,Hybrid
19/08/2023 21:47:46,21-25,Female,Student with prior work exp.,25 - 36,WFH,Full-time,5,4,4,4,No difference,No difference,4,Flexibility in wfh and personal meet in wfo,Flexible office timings,Decreased slightly,WFH
19/08/2023 21:56:08,21-25,Male,Employed,25 - 36,WFH,Full-time,5,3,5,5,Home,Home,3,,Less working hours,Increased slightly,WFH
19/08/2023 21:59:12,26-35,Male,Employed,25 - 36,WFH,Full-time,5,1,5,2,Home,Home,4,,Change in work mode (WFH/WFO),Increased slightly,WFH
19/08/2023 22:02:06,21-25,Male,Employed,13 - 24,Hybrid,Full-time,3,4,2,5,Office,Office,4,,Better facilities at office,Decreased slightly,Hybrid
19/08/2023 22:06:11,20 and below,Female,Not employed,0 - 12,WFO,Full-time,3,3,3,4,Office,Office,2,Office,Better facilities at office,Increased significantly,WFH
19/08/2023 22:16:21,21-25,Male,Student with prior work exp.,25 - 36,WFO,Full-time,4,4,3,4,Office,Office,4,,Flexible office timings,Decreased slightly,WFO
19/08/2023 22:18:04,21-25,Male,Employed,0 - 12,WFO,Full-time,4,5,3,4,Office,Home,4,,Change in work mode (WFH/WFO),No change,Hybrid
19/08/2023 22:34:45,26-35,Female,Employed,0 - 12,Hybrid,Full-time,5,4,5,3,Home,Home,4,,Flexible office timings,Decreased slightly,Hybrid
19/08/2023 22:39:28,21-25,Male,Employed,13 - 24,WFO,Full-time,5,5,2,5,Office,Office,4,,Flexible office timings,Decreased significantly,WFO
19/08/2023 23:50:27,21-25,Male,Student with prior work exp.,25 - 36,Hybrid,Full-time,5,5,3,5,Office,Home,4,,Change in work mode (WFH/WFO),Decreased slightly,Hybrid
20/08/2023 00:01:16,21-25,Male,Student with prior work exp.,25 - 36,WFH,Full-time,5,4,4,5,Home,Home,5,,Change in work mode (WFH/WFO),Increased slightly,Hybrid
20/08/2023 00:09:50,20 and below,Female,Student with prior work exp.,0 - 12,Hybrid,Full-time,3,3,4,4,No difference,No difference,3,,Change in work mode (WFH/WFO),No change,Hybrid
20/08/2023 00:10:30,21-25,Male,Employed,0 - 12,WFH,Full-time,5,2,4,5,Office,Home,4,Work life balance ,Change in work mode (WFH/WFO),Decreased slightly,WFH
